,data,dtitulo,sentimento
0,02/10/2017,Petrobras anuncia US$ 63 bi em operações de pagamento renegociação e contratação de dívida Empresa pagou antecipadamente US$ 2666 bilhões em dívidas com vencimentos em 2018 e 2019 para os bancos BNP Paribas Bank of China e HSBC.,"Sentiment(polarity=0.18801652892561982, subjectivity=0.4661157024793388)"
1,02/10/2017,Ministro de Minas e Energia prevê que Petrobras será privatizada: É um caminho Fernando Coelho Filho afirmou no entanto que governo não pode tocar todas as agendas ao mesmo tempo. Ministro falou durante entrevista ao programa  Roda Viva.,"Sentiment(polarity=-0.041666666666666664, subjectivity=0.46458333333333335)"
2,03/10/2017,Não estamos tratando disso diz ministro sobre privatização da Petrobras Fernando Coelho Filho (Minas e Energia) previu em entrevista na segunda que privatização da Petrobras vai acontecer. Governo Temer já anunciou que  privatizará a Eletrobras.,"Sentiment(polarity=-0.01805555555555555, subjectivity=0.3111111111111111)"
3,04/10/2017,Comitê do setor elétrico pedirá que Petrobras forneça combustível para térmicas paradas Comitê destacou que a previsão é de chuvas abaixo da média nas áreas dos reservatórios das usinas hidrelétricas o que aumenta a necessidade de geração  de energia por termelétricas.,"Sentiment(polarity=0.065, subjectivity=0.4025)"
4,04/10/2017,Petrobras está perto de atingir meta de desalavancagem A companhia que tem reduzido trimestre a trimestre sua alavancagem (índice medido pela dívida líquida/Ebtida ajustado) havia projetado atingir um nível de 25 vezes em 2018 o que deve ser antecipado.,"Sentiment(polarity=0.0031249999999999993, subjectivity=0.290625)"
5,05/10/2017,Indústria naval deve recorrer de decisão da ANP que libera Petrobras para construir casco de Libra no exterior Agência reguladora flexibilizou regras de conteúdo local para o projeto de Libra maior reserva do pré-sal; Petrobras alega que com conteúdo nacional  projeto fica 40% mais caro.,"Sentiment(polarity=0.05366666666666666, subjectivity=0.3669999999999999)"
6,05/10/2017,Petrobras vai analisar pedido do governo por ajuda a térmicas mas sem subsídio O Comitê de Monitoramento do Setor Elétrico (CMSE) vai pedir a estatal para voltar a fornecer combustível para térmicas que estão paradas.,"Sentiment(polarity=0.06309523809523811, subjectivity=0.32817460317460323)"
7,05/10/2017,Petrobras vê como positiva flexibilização de conteúdo local em reserva do pré-sal Na véspera ANP flexibilizou as exigências para a construção do subsitema UEP do projeto Piloto de Libra uma das maiores reservas de pré-sal brasileiro.,"Sentiment(polarity=0.032137161084529506, subjectivity=0.19230462519936203)"
8,10/10/2017,Petrobras eleva preço do botijão de gás em 129% a partir desta quarta Estatal estima que preço ao consumidor final pode subir cerca de R$ 309 por botijão em média.,"Sentiment(polarity=-0.012045454545454547, subjectivity=0.4593939393939395)"
9,11/10/2017,Cade vê como complexa compra de ativos da Petrobras por mexicana e pede estudos Venda da Petroquímica Suape e da Citepe para os mexicanos da Petrotemex e sua subsidiária Dak Americas Exterior foi aprovada em 28 de dezembro pela  Petrobras por US$ 385 milhões.,"Sentiment(polarity=6.938893903907228e-18, subjectivity=0.22499999999999998)"
10,11/10/2017,TCU bloqueia bens de Dilma por prejuízo à Petrobras com compra de Pasadena Além da ex-presidente decisão atinge outros 5 ex-membros do Conselho de Administração da estatal que aprovaram em 2006 a compra da refinaria. Cabe  recurso.,"Sentiment(polarity=0.033569182389937106, subjectivity=0.3116352201257862)"
11,16/10/2017,Petrobras pede registro de companhia aberta para BR Distribuidora Pedido de IPO inclui também aval para realizar uma venda secundária de ações ou seja papéis detidos por sócios.,"Sentiment(polarity=-0.08571428571428572, subjectivity=0.34285714285714286)"
12,17/10/2017,Moodys eleva nota da Petrobras e muda perspectiva para estável Agência cita redução do endividamento da petroleira e fortalecimento da governança; rating da Petrobras segue porém abaixo do grau de investimento.,"Sentiment(polarity=0.1177246753246753, subjectivity=0.41295064935064935)"
13,18/10/2017,Produção da Petrobras no Brasil sobe 28% em setembro ante agosto Na comparação com setembro de 2016 houve queda de 31%.,"Sentiment(polarity=-0.024526515151515157, subjectivity=0.36998106060606056)"
14,19/10/2017,Governo exclui fatia da Petrobras na Braskem de programa de desestatização Medida também exclui a fatia da petroleira na Deten Química.,"Sentiment(polarity=0.0, subjectivity=0.24000000000000005)"
15,19/10/2017,Carf decide a favor da Petrobras em processo de R$ 78 bilhões diz estatal Estatal divulgou comunicado nesta quinta-feira (19).,"Sentiment(polarity=0.011111111111111112, subjectivity=0.022222222222222223)"
16,24/10/2017,Petrobras quer vender a BR Distribuidora ‘o mais rápido possível’ Empresa tem meta de vender ativos que somam US$ 21 bilhões em 2017 e 2018 para reduzir sua dívida; neste ano empresa não vendeu nenhum negócio.,"Sentiment(polarity=0.008088235294117648, subjectivity=0.4620098039215686)"
17,24/10/2017,Petrobras fará parceria para disputar blocos do pré-sal em leilão na sexta-feira Presidente da estatal adiantou que oferta de lance será dado em consórcio mas não revelou o nome da petroleira parceira. Na última licitação parceira foi a   norte-americana ExxonMobil.,"Sentiment(polarity=0.12252066115702478, subjectivity=0.5579693034238489)"
18,26/10/2017,Petrobras aprova adesão a Nível 2 de governança da bolsa e corte de gerências Patamar intermediário de governança da bolsa o Nível 2 tem como principal diferença para o Novo Mercado a possibilidade de emissão de ações  preferenciais.,"Sentiment(polarity=0.12531265031265032, subjectivity=0.453202661535995)"
19,26/10/2017,Petrobras pode incluir ativos de logística em vendas de refinarias; detalhes devem sair no 1º tri diz Parente Segundo o presidente da Petrobras vender só as refinarias talvez não seja suficiente detalhes dos desinvestimentos devem ser publicados no 1º trimestre.,"Sentiment(polarity=0.17100811688311687, subjectivity=0.5489270562770564)"
20,26/10/2017,Petrobras será ‘seletiva’ mas ‘muito firme’ no leilão do pré-sal diz Pedro Parente ANP pôs à venda 8 blocos de exploração do pré-sal em leilão nesta sexta-feira (27) na primeira oferta após a mudança na lei que abriu a disputa do pré-sal  para empresas privadas.,"Sentiment(polarity=0.18765400637098756, subjectivity=0.5249041901494731)"
21,26/10/2017,Petrobras adere ao programa de regularização de dívida não tributária Segundo a estatal adesão resultará em impacto negativo no resultado do 3º tri de R$ 520 milhões; conselho de administração aprovou ainda a  reestruturação nas áreas de Exploração e Produção e de Refino e Gás Natural.,"Sentiment(polarity=0.028975681181563538, subjectivity=0.39610707919531457)"
22,27/10/2017,Petrobras ‘não podia se dar ao luxo de perder essa oportunidade’ diz Parente sobre alta oferta nos leilões Estatal em consórcios com petroleiras estrangeiras arrematou os 3 blocos pelos quais havia manifestado interesse de preferência e ofereceu até 80% da  produção à União.,"Sentiment(polarity=0.12408080808080811, subjectivity=0.38960606060606057)"
23,27/10/2017,Com lances altos Petrobras leva 3 blocos do pré-sal e oferece até 80% da produção à União No regime de partilha que rege o pré-sal vence a disputa quem oferecer a maior fatia de petróleo para a União; valores foram até 674% acima do lance  mínimo e superam oferta de 2013 por Libra.,"Sentiment(polarity=0.11445833333333333, subjectivity=0.483875)"
24,31/10/2017,Petrobras busca parcerias para concluir obras do Comperj diz Parente Presidente da estatal revelou a expectativa de firmar parceria na área de refino para alavancar recursos que permitam a conclusão das obras do Complexo  Petroquímico do Rio de Janeiro.,"Sentiment(polarity=0.07204855001629194, subjectivity=0.37361685984266635)"
25,31/10/2017,Parceria da Petrobras com empresa britânica BP deve envolver troca de ativos diz Parente Estatal divulgou carta de intenções com a BP com a qual se uniu para adquirir campos do pré-sal. Um dos principais focos da Petrobras é aumentar produção  de gás.,"Sentiment(polarity=0.10940476190476191, subjectivity=0.430542328042328)"
